r [nm],g(r)
5.0,29.771280878764742
15.0,24.936818435730945
25.0,18.93198649592566
35.0,13.593300067359149
45.0,9.736391723766316
55.0,7.180803110543023
65.0,5.6361403756357795
75.0,4.504185111579915
85.0,3.701510823456155
95.0,3.160000394605234
105.0,2.7321044148598976
115.0,2.418567126954476
125.0,2.193678066437189
135.0,2.003580275853589
145.0,1.8383411517253723
155.0,1.694856508426057
165.0,1.5987773519509239
175.0,1.4977466070273802
185.0,1.4211924656667436
195.0,1.359375695231742
205.0,1.2987497567302386
215.0,1.2557722243199583
225.0,1.197978758324358
235.0,1.1699527538367154
245.0,1.131297292627496
255.0,1.0851593377053799
265.0,1.0561841398159035
275.0,1.031572913830387
285.0,0.9988126918226202
295.0,0.9736513211173731
305.0,0.9472014925871381
315.0,0.9253242133457252
325.0,0.9134741674542682
335.0,0.8888761121191849
345.0,0.8756283167879287
355.0,0.8599861475636631
365.0,0.8431846433717932
375.0,0.8299296416671821
385.0,0.8208381521365806
395.0,0.8009004099353606
405.0,0.7946734145780407
415.0,0.7842311403873325
425.0,0.7828758075105428
435.0,0.7773914534634032
445.0,0.7690325015411534
455.0,0.7575602179828188
465.0,0.7498532273893637
475.0,0.7408110757203297
485.0,0.7348056021717136
495.0,0.7298278500142076
