r [nm],g(r)
5.0,18.582844677391385
15.0,16.93347714622583
25.0,14.591626355402209
35.0,12.375257330188434
45.0,10.495366147551977
55.0,9.027924632514472
65.0,7.979194633769698
75.0,7.058263512639687
85.0,6.2709129711263385
95.0,5.708631663352675
105.0,5.202674430896214
115.0,4.801289098514034
125.0,4.418750957862922
135.0,4.127599479828891
145.0,3.850871101301911
155.0,3.604180914901865
165.0,3.41674075963693
175.0,3.223311315345447
185.0,3.0615978029012427
195.0,2.9014681284013486
205.0,2.773878574188094
215.0,2.6425059283724868
225.0,2.5179631635900326
235.0,2.420788311861519
245.0,2.310349825838115
255.0,2.2244861097428568
265.0,2.1410651204545967
275.0,2.060889356748499
285.0,1.9853916728843877
295.0,1.9232182377561073
305.0,1.857917405335301
315.0,1.7967861896232682
325.0,1.7542463089065026
335.0,1.7073328724060124
345.0,1.6658459645558428
355.0,1.6241916093530946
365.0,1.5873308045107248
375.0,1.5473057636446594
385.0,1.5166592869361857
395.0,1.4886683168578354
405.0,1.4601619465837061
415.0,1.4305877871934223
425.0,1.4016977106675292
435.0,1.3680603160230769
445.0,1.3399446262838581
455.0,1.3142664709711296
465.0,1.2912536956275462
475.0,1.264310470859377
485.0,1.2415138836090265
495.0,1.2202722163795403
