r [nm],g(r)
5.0,12.291774244750979
15.0,11.83560776872638
25.0,10.553317086109615
35.0,9.48637663224911
45.0,8.324300628324531
55.0,7.6510147219364875
65.0,7.232390783786063
75.0,6.664844867279515
85.0,6.107439438384673
95.0,5.608874955282663
105.0,5.181397635255726
115.0,4.869786474620714
125.0,4.360163731639037
135.0,4.118098168594398
145.0,3.8755809869365896
155.0,3.599083247997312
165.0,3.336536666151833
175.0,3.140097061541362
185.0,2.9603349787531688
195.0,2.765205665610269
205.0,2.645695701627081
215.0,2.516143230899412
225.0,2.370607106675697
235.0,2.3041090003739706
245.0,2.186059609329273
255.0,2.065242334243405
265.0,1.9980889727841695
275.0,1.930585405050143
285.0,1.8586663253587965
295.0,1.8122699546527632
305.0,1.770777896690206
315.0,1.7319583652161683
325.0,1.6588848954557607
335.0,1.6710270136762677
345.0,1.6194670314271442
355.0,1.5726422997829048
365.0,1.5523770042783473
375.0,1.5008085203003703
385.0,1.4689552505421775
395.0,1.4518417691579035
405.0,1.4105787836333867
415.0,1.3949588999645255
425.0,1.3538941230819668
435.0,1.3168698083802468
445.0,1.2939503130135703
455.0,1.2897200994783893
465.0,1.2846405442782782
475.0,1.2499113847892482
485.0,1.2236150401095407
495.0,1.2016534322755759
